"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC_Os09g21040",35.3128490067515,2.2748369192801,0.249300040330679,9.12489591362554,7.18052254364271e-20,8.38960965841503e-18
"LOC_Os12g39440",442.747755202529,-1.31245102922537,0.143874015246758,-9.12222423885501,7.35980566936443e-20,8.56169393432673e-18
"LOC_Os03g57120",309.630293660498,-1.11589511056291,0.122587858783666,-9.10281916688148,8.80168971011537e-20,1.01507762880968e-17
"LOC_Os01g03500",426.632794347286,1.16328707704191,0.127935723469661,9.09274630645113,9.65683854579522e-20,1.10515829352651e-17
"LOC_Os10g32680",1216.57732403219,2.10768250914317,0.231800682261071,9.09265015350274,9.66538498599209e-20,1.10515829352651e-17
"LOC_Os05g35190",1735.51595639602,1.43189323535553,0.157609103289009,9.08509220263664,1.03610826619236e-19,1.17966437320182e-17
"LOC_Os03g53220",223.379031728871,4.3401535363096,0.477880020145696,9.08209875563824,1.06501076336966e-19,1.20743338918299e-17
"LOC_Os03g07180",1210.5132202099,6.97085614249875,0.769852047270458,9.0547997725202,1.36818570147097e-19,1.54460660879989e-17
"LOC_Os01g07700",450.774063799968,-1.50921610785154,0.166945732499649,-9.04015984867846,1.5644288067927e-19,1.75137477634082e-17
"LOC_Os02g02750",1051.92933259447,-1.59819388127044,0.176899400417013,-9.03447879135227,1.64785822777507e-19,1.83708728093124e-17
"LOC_Os09g20550",1414.45034133225,1.48710962452745,0.164662210508245,9.0312745100248,1.69683849118905e-19,1.88384276640059e-17
"LOC_Os08g03360",3085.42674319406,1.46994535810001,0.162865652546888,9.02550866381617,1.78862465273404e-19,1.96940087277992e-17
"LOC_Os09g19750",674.072884499544,1.43452209461432,0.159392631850812,8.99992727365839,2.25867252200072e-19,2.46665477545515e-17
"LOC_Os05g38830",1863.09752921047,1.43206091492115,0.159320655744996,8.98854519663324,2.50524447610385e-19,2.72480980498514e-17
"LOC_Os04g40010",169.603279257106,1.30403479476098,0.145136944522434,8.98485770836531,2.59069304361994e-19,2.80620322231878e-17
"LOC_Os01g70520",1120.57673737523,-2.81610368960898,0.313860169480693,-8.97247871327046,2.8991534154163e-19,3.11525095513568e-17
"LOC_Os05g08980",2699.2614745069,1.0121596212322,0.113082639407855,8.95061900334361,3.53494460632902e-19,3.78323911547757e-17
"LOC_Os07g03270",526.171985821011,1.31089194642209,0.146580706982951,8.94314110911309,3.78262258867318e-19,4.03218525826851e-17
"LOC_Os02g53790",521.985902059433,-1.77796656262712,0.19946995440291,-8.91345550235504,4.9466263466601e-19,5.23130176012797e-17
"LOC_Os01g45750",4003.74777886968,-1.41253335558345,0.158680559084291,-8.90174173657349,5.49770713253265e-19,5.79120677315132e-17
"LOC_Os03g58920",567.789643570182,1.36912754046357,0.154050598914398,8.88751845245578,6.24888454257996e-19,6.53106073520584e-17
"LOC_Os11g34460",1819.44318102568,-1.83268708996746,0.206459312455106,-8.87674703637296,6.88441299469289e-19,7.13950984829469e-17
